constraint_schema,constraint_name,constraint_type,table_schema,table_name,constraint_definition,is_deferrable,initially_deferred
public,access_methods_key_key,UNIQUE,public,access_methods,UNIQUE (key),false,false
public,access_methods_pkey,PRIMARY KEY,public,access_methods,PRIMARY KEY (id),false,false
public,action_definitions_action_type_check,CHECK,public,action_definitions,"CHECK (action_type = ANY (ARRAY['navigate'::text, 'open_drawer'::text, 'open_form'::text, 'update_status'::text, 'update_field'::text, 'start_workflow'::text, 'external_link'::text, 'ui_intent'::text]))",false,false
public,action_definitions_org_id_fkey,FOREIGN KEY,public,action_definitions,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,action_definitions_pkey,PRIMARY KEY,public,action_definitions,PRIMARY KEY (id),false,false
public,action_definitions_workflow_id_fkey,FOREIGN KEY,public,action_definitions,FOREIGN KEY (workflow_id) REFERENCES workflows(id) ON DELETE SET NULL,false,false
public,action_links_pkey,PRIMARY KEY,public,action_links,PRIMARY KEY (id),false,false
public,action_links_token_key,UNIQUE,public,action_links,UNIQUE (token),false,false
public,action_placements_action_definition_id_fkey,FOREIGN KEY,public,action_placements,FOREIGN KEY (action_definition_id) REFERENCES action_definitions(id) ON DELETE CASCADE,false,false
public,action_placements_department_id_fkey,FOREIGN KEY,public,action_placements,FOREIGN KEY (department_id) REFERENCES departments(id) ON DELETE CASCADE,false,false
public,action_placements_display_style_check,CHECK,public,action_placements,"CHECK (display_style = ANY (ARRAY['button'::text, 'icon_button'::text, 'link'::text, 'menu_item'::text]))",false,false
public,action_placements_org_id_fkey,FOREIGN KEY,public,action_placements,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,action_placements_pkey,PRIMARY KEY,public,action_placements,PRIMARY KEY (id),false,false
public,action_placements_slot_check,CHECK,public,action_placements,"CHECK (slot = ANY (ARRAY['primary'::text, 'secondary'::text, 'overflow'::text, 'right_rail'::text, 'row_inline'::text, 'header'::text]))",false,false
public,action_placements_surface_check,CHECK,public,action_placements,"CHECK (surface = ANY (ARRAY['record_header'::text, 'record_section'::text, 'queue_row'::text, 'work_unit'::text, 'department'::text, 'workspace'::text, 'right_rail'::text]))",false,false
public,action_placements_work_unit_id_fkey,FOREIGN KEY,public,action_placements,FOREIGN KEY (work_unit_id) REFERENCES work_units(id) ON DELETE CASCADE,false,false
public,activity_log_pkey,PRIMARY KEY,public,activity_log,PRIMARY KEY (id),false,false
public,addon_frequencies_key_key,UNIQUE,public,addon_frequencies,UNIQUE (key),false,false
public,addon_frequencies_pkey,PRIMARY KEY,public,addon_frequencies,PRIMARY KEY (id),false,false
public,addon_types_key_key,UNIQUE,public,addon_types,UNIQUE (key),false,false
public,addon_types_pkey,PRIMARY KEY,public,addon_types,PRIMARY KEY (id),false,false
public,addon_types_vertical_id_fkey,FOREIGN KEY,public,addon_types,FOREIGN KEY (vertical_id) REFERENCES verticals(id) ON DELETE CASCADE,false,false
public,agent_v0_apply_audit_org_id_fkey,FOREIGN KEY,public,agent_v0_apply_audit,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,agent_v0_apply_audit_pkey,PRIMARY KEY,public,agent_v0_apply_audit,PRIMARY KEY (id),false,false
public,agent_v0_apply_audit_work_unit_id_fkey,FOREIGN KEY,public,agent_v0_apply_audit,FOREIGN KEY (work_unit_id) REFERENCES work_units(id) ON DELETE CASCADE,false,false
public,chk_agent_v0_apply_terminal,CHECK,public,agent_v0_apply_audit,"CHECK (terminal_status = ANY (ARRAY['success'::text, 'failed'::text]))",false,false
public,fk_agent_v0_apply_proposal,FOREIGN KEY,public,agent_v0_apply_audit,FOREIGN KEY (proposal_id) REFERENCES agent_v0_proposals(proposal_id) ON DELETE CASCADE,false,false
public,ux_agent_v0_apply_audit_result_id,UNIQUE,public,agent_v0_apply_audit,UNIQUE (result_id),false,false
public,agent_v0_proposals_org_id_fkey,FOREIGN KEY,public,agent_v0_proposals,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,agent_v0_proposals_pkey,PRIMARY KEY,public,agent_v0_proposals,PRIMARY KEY (id),false,false
public,agent_v0_proposals_work_unit_id_fkey,FOREIGN KEY,public,agent_v0_proposals,FOREIGN KEY (work_unit_id) REFERENCES work_units(id) ON DELETE CASCADE,false,false
public,ux_agent_v0_proposals_proposal_id,UNIQUE,public,agent_v0_proposals,UNIQUE (proposal_id),false,false
public,agent_v1_record_layout_apply_aud_record_overview_layout_id_fkey,FOREIGN KEY,public,agent_v1_record_layout_apply_audit,FOREIGN KEY (record_overview_layout_id) REFERENCES record_overview_layouts(id) ON DELETE CASCADE,false,false
public,agent_v1_record_layout_apply_audit_org_id_fkey,FOREIGN KEY,public,agent_v1_record_layout_apply_audit,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,agent_v1_record_layout_apply_audit_pkey,PRIMARY KEY,public,agent_v1_record_layout_apply_audit,PRIMARY KEY (id),false,false
public,chk_agent_v1_rl_apply_terminal,CHECK,public,agent_v1_record_layout_apply_audit,"CHECK (terminal_status = ANY (ARRAY['success'::text, 'failed'::text]))",false,false
public,fk_agent_v1_rl_apply_proposal,FOREIGN KEY,public,agent_v1_record_layout_apply_audit,FOREIGN KEY (proposal_id) REFERENCES agent_v1_record_layout_proposals(proposal_id) ON DELETE CASCADE,false,false
public,ux_agent_v1_rl_apply_result_id,UNIQUE,public,agent_v1_record_layout_apply_audit,UNIQUE (result_id),false,false
public,agent_v1_record_layout_proposals_org_id_fkey,FOREIGN KEY,public,agent_v1_record_layout_proposals,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
