schemaname,tablename,indexname,is_unique,is_primary,index_method,indexdef
public,access_methods,access_methods_key_key,true,false,btree,CREATE UNIQUE INDEX access_methods_key_key ON access_methods USING btree (key)
public,access_methods,access_methods_pkey,true,true,btree,CREATE UNIQUE INDEX access_methods_pkey ON access_methods USING btree (id)
public,action_definitions,action_definitions_pkey,true,true,btree,CREATE UNIQUE INDEX action_definitions_pkey ON action_definitions USING btree (id)
public,action_definitions,idx_action_definitions_entity_active,false,false,btree,CREATE INDEX idx_action_definitions_entity_active ON action_definitions USING btree (entity_type) WHERE is_active = true
public,action_definitions,idx_action_definitions_key_active_global,false,false,btree,"CREATE INDEX idx_action_definitions_key_active_global ON action_definitions USING btree (key, is_active) WHERE is_active = true AND org_id IS NULL"
public,action_definitions,idx_action_definitions_org_active,false,false,btree,CREATE INDEX idx_action_definitions_org_active ON action_definitions USING btree (org_id) WHERE is_active = true AND org_id IS NOT NULL
public,action_definitions,idx_action_definitions_org_key_active,false,false,btree,"CREATE INDEX idx_action_definitions_org_key_active ON action_definitions USING btree (org_id, key, is_active) WHERE is_active = true AND org_id IS NOT NULL"
public,action_definitions,ux_action_definitions_global_key,true,false,btree,CREATE UNIQUE INDEX ux_action_definitions_global_key ON action_definitions USING btree (key) WHERE org_id IS NULL
public,action_definitions,ux_action_definitions_org_key,true,false,btree,"CREATE UNIQUE INDEX ux_action_definitions_org_key ON action_definitions USING btree (org_id, key) WHERE org_id IS NOT NULL"
public,action_links,action_links_entity_idx,false,false,btree,"CREATE INDEX action_links_entity_idx ON action_links USING btree (entity_type, entity_id)"
public,action_links,action_links_pkey,true,true,btree,CREATE UNIQUE INDEX action_links_pkey ON action_links USING btree (id)
public,action_links,action_links_short_code_key,true,false,btree,CREATE UNIQUE INDEX action_links_short_code_key ON action_links USING btree (short_code) WHERE short_code IS NOT NULL
public,action_links,action_links_short_code_uidx,true,false,btree,CREATE UNIQUE INDEX action_links_short_code_uidx ON action_links USING btree (short_code) WHERE short_code IS NOT NULL
public,action_links,action_links_token_key,true,false,btree,CREATE UNIQUE INDEX action_links_token_key ON action_links USING btree (token)
public,action_placements,action_placements_pkey,true,true,btree,CREATE UNIQUE INDEX action_placements_pkey ON action_placements USING btree (id)
public,action_placements,idx_action_placements_def,false,false,btree,CREATE INDEX idx_action_placements_def ON action_placements USING btree (action_definition_id)
public,action_placements,idx_action_placements_org,false,false,btree,CREATE INDEX idx_action_placements_org ON action_placements USING btree (org_id) WHERE org_id IS NOT NULL
public,action_placements,idx_action_placements_record_section_scope,false,false,btree,"CREATE INDEX idx_action_placements_record_section_scope ON action_placements USING btree (surface, entity_type, section_key, is_active) WHERE surface = 'record_section'::text AND is_active = true"
public,action_placements,idx_action_placements_surface_active,false,false,btree,"CREATE INDEX idx_action_placements_surface_active ON action_placements USING btree (surface, is_active) WHERE is_active = true"
public,action_placements,idx_action_placements_surface_org_active,false,false,btree,"CREATE INDEX idx_action_placements_surface_org_active ON action_placements USING btree (surface, org_id, is_active) WHERE is_active = true"
public,action_placements,idx_action_placements_work_unit,false,false,btree,CREATE INDEX idx_action_placements_work_unit ON action_placements USING btree (work_unit_id) WHERE work_unit_id IS NOT NULL
public,action_placements,idx_action_placements_work_unit_surface_active,false,false,btree,"CREATE INDEX idx_action_placements_work_unit_surface_active ON action_placements USING btree (work_unit_id, surface, is_active) WHERE is_active = true AND work_unit_id IS NOT NULL"
public,activity_log,activity_log_pkey,true,true,btree,CREATE UNIQUE INDEX activity_log_pkey ON activity_log USING btree (id)
public,activity_log,idx_activity_entity,false,false,btree,"CREATE INDEX idx_activity_entity ON activity_log USING btree (entity_type, entity_id)"
public,addon_frequencies,addon_frequencies_key_key,true,false,btree,CREATE UNIQUE INDEX addon_frequencies_key_key ON addon_frequencies USING btree (key)
public,addon_frequencies,addon_frequencies_pkey,true,true,btree,CREATE UNIQUE INDEX addon_frequencies_pkey ON addon_frequencies USING btree (id)
public,addon_types,addon_types_key_key,true,false,btree,CREATE UNIQUE INDEX addon_types_key_key ON addon_types USING btree (key)
public,addon_types,addon_types_pkey,true,true,btree,CREATE UNIQUE INDEX addon_types_pkey ON addon_types USING btree (id)
public,addon_types,idx_addon_types_vertical_id,false,false,btree,CREATE INDEX idx_addon_types_vertical_id ON addon_types USING btree (vertical_id)
public,agent_v0_apply_audit,agent_v0_apply_audit_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v0_apply_audit_pkey ON agent_v0_apply_audit USING btree (id)
public,agent_v0_apply_audit,idx_agent_v0_apply_audit_org_id,false,false,btree,CREATE INDEX idx_agent_v0_apply_audit_org_id ON agent_v0_apply_audit USING btree (org_id)
public,agent_v0_apply_audit,idx_agent_v0_apply_audit_proposal,false,false,btree,CREATE INDEX idx_agent_v0_apply_audit_proposal ON agent_v0_apply_audit USING btree (proposal_id)
public,agent_v0_apply_audit,ux_agent_v0_apply_audit_result_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v0_apply_audit_result_id ON agent_v0_apply_audit USING btree (result_id)
public,agent_v0_proposals,agent_v0_proposals_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v0_proposals_pkey ON agent_v0_proposals USING btree (id)
public,agent_v0_proposals,idx_agent_v0_proposals_correlation,false,false,btree,CREATE INDEX idx_agent_v0_proposals_correlation ON agent_v0_proposals USING btree (correlation_id)
public,agent_v0_proposals,idx_agent_v0_proposals_org_id,false,false,btree,CREATE INDEX idx_agent_v0_proposals_org_id ON agent_v0_proposals USING btree (org_id)
public,agent_v0_proposals,ux_agent_v0_proposals_proposal_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v0_proposals_proposal_id ON agent_v0_proposals USING btree (proposal_id)
public,agent_v1_record_layout_apply_audit,agent_v1_record_layout_apply_audit_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v1_record_layout_apply_audit_pkey ON agent_v1_record_layout_apply_audit USING btree (id)
public,agent_v1_record_layout_apply_audit,idx_agent_v1_rl_apply_org_id,false,false,btree,CREATE INDEX idx_agent_v1_rl_apply_org_id ON agent_v1_record_layout_apply_audit USING btree (org_id)
public,agent_v1_record_layout_apply_audit,idx_agent_v1_rl_apply_proposal,false,false,btree,CREATE INDEX idx_agent_v1_rl_apply_proposal ON agent_v1_record_layout_apply_audit USING btree (proposal_id)
public,agent_v1_record_layout_apply_audit,ux_agent_v1_rl_apply_result_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v1_rl_apply_result_id ON agent_v1_record_layout_apply_audit USING btree (result_id)
public,agent_v1_record_layout_proposals,agent_v1_record_layout_proposals_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v1_record_layout_proposals_pkey ON agent_v1_record_layout_proposals USING btree (id)
public,agent_v1_record_layout_proposals,idx_agent_v1_rl_proposals_correlation,false,false,btree,CREATE INDEX idx_agent_v1_rl_proposals_correlation ON agent_v1_record_layout_proposals USING btree (correlation_id)
public,agent_v1_record_layout_proposals,idx_agent_v1_rl_proposals_org_id,false,false,btree,CREATE INDEX idx_agent_v1_rl_proposals_org_id ON agent_v1_record_layout_proposals USING btree (org_id)
public,agent_v1_record_layout_proposals,ux_agent_v1_rl_proposals_proposal_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v1_rl_proposals_proposal_id ON agent_v1_record_layout_proposals USING btree (proposal_id)
public,agent_v2_field_visibility_apply_audit,agent_v2_field_visibility_apply_audit_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v2_field_visibility_apply_audit_pkey ON agent_v2_field_visibility_apply_audit USING btree (id)
public,agent_v2_field_visibility_apply_audit,idx_agent_v2_fv_apply_org_id,false,false,btree,CREATE INDEX idx_agent_v2_fv_apply_org_id ON agent_v2_field_visibility_apply_audit USING btree (org_id)
public,agent_v2_field_visibility_apply_audit,idx_agent_v2_fv_apply_proposal,false,false,btree,CREATE INDEX idx_agent_v2_fv_apply_proposal ON agent_v2_field_visibility_apply_audit USING btree (proposal_id)
public,agent_v2_field_visibility_apply_audit,ux_agent_v2_fv_apply_result_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v2_fv_apply_result_id ON agent_v2_field_visibility_apply_audit USING btree (result_id)
public,agent_v2_field_visibility_proposals,agent_v2_field_visibility_proposals_pkey,true,true,btree,CREATE UNIQUE INDEX agent_v2_field_visibility_proposals_pkey ON agent_v2_field_visibility_proposals USING btree (id)
public,agent_v2_field_visibility_proposals,idx_agent_v2_fv_proposals_correlation,false,false,btree,CREATE INDEX idx_agent_v2_fv_proposals_correlation ON agent_v2_field_visibility_proposals USING btree (correlation_id)
public,agent_v2_field_visibility_proposals,idx_agent_v2_fv_proposals_org_id,false,false,btree,CREATE INDEX idx_agent_v2_fv_proposals_org_id ON agent_v2_field_visibility_proposals USING btree (org_id)
public,agent_v2_field_visibility_proposals,ux_agent_v2_fv_proposals_proposal_id,true,false,btree,CREATE UNIQUE INDEX ux_agent_v2_fv_proposals_proposal_id ON agent_v2_field_visibility_proposals USING btree (proposal_id)
public,announcement_deliveries,announcement_deliveries_pkey,true,true,btree,CREATE UNIQUE INDEX announcement_deliveries_pkey ON announcement_deliveries USING btree (id)
public,announcement_deliveries,idx_announcement_deliveries_announcement,false,false,btree,CREATE INDEX idx_announcement_deliveries_announcement ON announcement_deliveries USING btree (announcement_id)
public,announcement_deliveries,idx_announcement_deliveries_org_person,false,false,btree,"CREATE INDEX idx_announcement_deliveries_org_person ON announcement_deliveries USING btree (org_id, person_id, created_at DESC) WHERE person_id IS NOT NULL"
public,announcement_recipients,announcement_recipients_pkey,true,true,btree,CREATE UNIQUE INDEX announcement_recipients_pkey ON announcement_recipients USING btree (id)
public,announcement_recipients,announcement_recipients_uq,true,false,btree,"CREATE UNIQUE INDEX announcement_recipients_uq ON announcement_recipients USING btree (announcement_id, person_id, channel)"
public,announcement_recipients,idx_announcement_recipients_org_announcement_status,false,false,btree,"CREATE INDEX idx_announcement_recipients_org_announcement_status ON announcement_recipients USING btree (org_id, announcement_id, status)"
public,announcement_targets,announcement_targets_pkey,true,true,btree,CREATE UNIQUE INDEX announcement_targets_pkey ON announcement_targets USING btree (id)
public,announcement_targets,idx_announcement_targets_announcement,false,false,btree,CREATE INDEX idx_announcement_targets_announcement ON announcement_targets USING btree (announcement_id)
public,announcement_targets,idx_announcement_targets_org_announcement,false,false,btree,"CREATE INDEX idx_announcement_targets_org_announcement ON announcement_targets USING btree (org_id, announcement_id)"
public,announcements,announcements_pkey,true,true,btree,CREATE UNIQUE INDEX announcements_pkey ON announcements USING btree (id)
public,announcements,idx_announcements_org_status,false,false,btree,"CREATE INDEX idx_announcements_org_status ON announcements USING btree (org_id, status)"
public,announcements,idx_announcements_org_status_scheduled,false,false,btree,"CREATE INDEX idx_announcements_org_status_scheduled ON announcements USING btree (org_id, status, scheduled_at DESC NULLS LAST)"
public,announcements,idx_announcements_org_status_send_at,false,false,btree,"CREATE INDEX idx_announcements_org_status_send_at ON announcements USING btree (org_id, status, send_at)"
public,app_users,app_users_auth_user_id_key,true,false,btree,CREATE UNIQUE INDEX app_users_auth_user_id_key ON app_users USING btree (auth_user_id)
public,app_users,app_users_pkey,true,true,btree,CREATE UNIQUE INDEX app_users_pkey ON app_users USING btree (id)
public,app_users,idx_app_users_org_id,false,false,btree,CREATE INDEX idx_app_users_org_id ON app_users USING btree (org_id)
public,assignment_statuses,assignment_statuses_key_key,true,false,btree,CREATE UNIQUE INDEX assignment_statuses_key_key ON assignment_statuses USING btree (key)
public,assignment_statuses,assignment_statuses_pkey,true,true,btree,CREATE UNIQUE INDEX assignment_statuses_pkey ON assignment_statuses USING btree (id)
public,assignments,assignments_pkey,true,true,btree,CREATE UNIQUE INDEX assignments_pkey ON assignments USING btree (id)
public,assignments,idx_assignments_job,false,false,btree,CREATE INDEX idx_assignments_job ON assignments USING btree (job_id)
public,assignments,idx_assignments_org_id,false,false,btree,CREATE INDEX idx_assignments_org_id ON assignments USING btree (org_id)
public,assignments,idx_assignments_schedule,false,false,btree,CREATE INDEX idx_assignments_schedule ON assignments USING btree (schedule_id)
public,assignments,idx_assignments_status,false,false,btree,CREATE INDEX idx_assignments_status ON assignments USING btree (assignment_status_id)
public,assignments,idx_assignments_status_key,false,false,btree,"CREATE INDEX idx_assignments_status_key ON assignments USING btree (org_id, status_key)"
public,assignments,idx_assignments_vendor,false,false,btree,CREATE INDEX idx_assignments_vendor ON assignments USING btree (vendor_id)
public,business_process_layout_assignments,business_process_layout_assignments_pkey,true,true,btree,CREATE UNIQUE INDEX business_process_layout_assignments_pkey ON business_process_layout_assignments USING btree (id)
public,business_process_layout_assignments,idx_bp_layout_assignments_org_process_stage,false,false,btree,"CREATE INDEX idx_bp_layout_assignments_org_process_stage ON business_process_layout_assignments USING btree (org_id, business_process_key, stage_key) WHERE stage_key IS NOT NULL"
public,business_process_layout_assignments,idx_bp_layout_assignments_org_process_surface,false,false,btree,"CREATE INDEX idx_bp_layout_assignments_org_process_surface ON business_process_layout_assignments USING btree (org_id, business_process_key, surface_key, is_active)"
public,campaigns,campaigns_pkey,true,true,btree,CREATE UNIQUE INDEX campaigns_pkey ON campaigns USING btree (id)
public,charge_line_items,charge_line_items_pkey,true,true,btree,CREATE UNIQUE INDEX charge_line_items_pkey ON charge_line_items USING btree (id)
public,charge_line_items,idx_charge_line_items_org_charge,false,false,btree,"CREATE INDEX idx_charge_line_items_org_charge ON charge_line_items USING btree (org_id, charge_id)"
public,charge_line_items,idx_charge_line_items_org_job_line_item_id_partial,false,false,btree,"CREATE INDEX idx_charge_line_items_org_job_line_item_id_partial ON charge_line_items USING btree (org_id, job_line_item_id) WHERE job_line_item_id IS NOT NULL"
public,charges,charges_pkey,true,true,btree,CREATE UNIQUE INDEX charges_pkey ON charges USING btree (id)
public,charges,idx_charges_charge_template,false,false,btree,CREATE INDEX idx_charges_charge_template ON charges USING btree (charge_template_id) WHERE charge_template_id IS NOT NULL
public,charges,idx_charges_org_billable_on,false,false,btree,"CREATE INDEX idx_charges_org_billable_on ON charges USING btree (org_id, billable_on) WHERE billable_on IS NOT NULL"
public,charges,idx_charges_org_billable_source_partial,false,false,btree,"CREATE INDEX idx_charges_org_billable_source_partial ON charges USING btree (org_id, billable_source_type, billable_source_id) WHERE billable_source_type IS NOT NULL"
public,charges,idx_charges_org_charge_category_partial,false,false,btree,"CREATE INDEX idx_charges_org_charge_category_partial ON charges USING btree (org_id, charge_category) WHERE charge_category IS NOT NULL"
public,charges,idx_charges_org_charge_type,false,false,btree,"CREATE INDEX idx_charges_org_charge_type ON charges USING btree (org_id, charge_type)"
public,charges,idx_charges_org_due_date,false,false,btree,"CREATE INDEX idx_charges_org_due_date ON charges USING btree (org_id, due_date)"
public,charges,idx_charges_org_job,false,false,btree,"CREATE INDEX idx_charges_org_job ON charges USING btree (org_id, job_id)"
public,charges,idx_charges_org_job_status,false,false,btree,"CREATE INDEX idx_charges_org_job_status ON charges USING btree (org_id, job_id, status)"
public,charges,idx_charges_org_schedule_id_partial,false,false,btree,"CREATE INDEX idx_charges_org_schedule_id_partial ON charges USING btree (org_id, schedule_id) WHERE schedule_id IS NOT NULL"
public,charges,idx_charges_org_service,false,false,btree,"CREATE INDEX idx_charges_org_service ON charges USING btree (org_id, service_id) WHERE service_id IS NOT NULL"
public,charges,idx_charges_org_source_charge_id_partial,false,false,btree,"CREATE INDEX idx_charges_org_source_charge_id_partial ON charges USING btree (org_id, source_charge_id) WHERE source_charge_id IS NOT NULL"
public,charges,idx_charges_org_status,false,false,btree,"CREATE INDEX idx_charges_org_status ON charges USING btree (org_id, status)"
public,charges,idx_charges_org_subscription_id_partial,false,false,btree,"CREATE INDEX idx_charges_org_subscription_id_partial ON charges USING btree (org_id, subscription_id) WHERE subscription_id IS NOT NULL"
public,child_attendance_events,child_attendance_events_pkey,true,true,btree,CREATE UNIQUE INDEX child_attendance_events_pkey ON child_attendance_events USING btree (id)
public,child_attendance_events,idx_child_attendance_events_corrects,false,false,btree,"CREATE INDEX idx_child_attendance_events_corrects ON child_attendance_events USING btree (org_id, corrects_event_id) WHERE corrects_event_id IS NOT NULL"
public,child_attendance_events,idx_child_attendance_events_org_agreement_date,false,false,btree,"CREATE INDEX idx_child_attendance_events_org_agreement_date ON child_attendance_events USING btree (org_id, enrollment_agreement_id, service_date)"
public,child_attendance_events,idx_child_attendance_events_org_member_date,false,false,btree,"CREATE INDEX idx_child_attendance_events_org_member_date ON child_attendance_events USING btree (org_id, customer_member_id, service_date)"
public,child_attendance_events,idx_child_attendance_events_org_site_date,false,false,btree,"CREATE INDEX idx_child_attendance_events_org_site_date ON child_attendance_events USING btree (org_id, site_location_id, service_date)"
public,child_enrollment_agreements,child_enrollment_agreements_pkey,true,true,btree,CREATE UNIQUE INDEX child_enrollment_agreements_pkey ON child_enrollment_agreements USING btree (id)
public,child_enrollment_agreements,idx_child_enrollment_agreements_org_member,false,false,btree,"CREATE INDEX idx_child_enrollment_agreements_org_member ON child_enrollment_agreements USING btree (org_id, customer_member_id)"
public,child_enrollment_agreements,idx_child_enrollment_agreements_org_ocm,false,false,btree,"CREATE INDEX idx_child_enrollment_agreements_org_ocm ON child_enrollment_agreements USING btree (org_id, opportunity_customer_member_id) WHERE opportunity_customer_member_id IS NOT NULL"
public,child_enrollment_agreements,idx_child_enrollment_agreements_org_opportunity,false,false,btree,"CREATE INDEX idx_child_enrollment_agreements_org_opportunity ON child_enrollment_agreements USING btree (org_id, opportunity_id) WHERE opportunity_id IS NOT NULL"
public,child_enrollment_agreements,idx_child_enrollment_agreements_org_site_status,false,false,btree,"CREATE INDEX idx_child_enrollment_agreements_org_site_status ON child_enrollment_agreements USING btree (org_id, site_location_id, status)"
public,child_enrollment_agreements,ux_child_enrollment_agreements_one_operational_per_member_site,true,false,btree,"CREATE UNIQUE INDEX ux_child_enrollment_agreements_one_operational_per_member_site ON child_enrollment_agreements USING btree (org_id, customer_member_id, site_location_id) WHERE status = ANY (ARRAY['pending_start'::text, 'active'::text, 'ending'::text])"
public,child_placements,child_placements_pkey,true,true,btree,CREATE UNIQUE INDEX child_placements_pkey ON child_placements USING btree (id)
public,child_placements,idx_child_placements_org_agreement,false,false,btree,"CREATE INDEX idx_child_placements_org_agreement ON child_placements USING btree (org_id, enrollment_agreement_id)"
public,child_placements,idx_child_placements_org_member_dates,false,false,btree,"CREATE INDEX idx_child_placements_org_member_dates ON child_placements USING btree (org_id, customer_member_id, start_date)"
public,child_placements,ux_child_placements_one_operational_per_agreement,true,false,btree,"CREATE UNIQUE INDEX ux_child_placements_one_operational_per_agreement ON child_placements USING btree (org_id, enrollment_agreement_id) WHERE status = ANY (ARRAY['planned'::text, 'active'::text, 'ending'::text])"
public,childcare_capacity_rules,childcare_capacity_rules_pkey,true,true,btree,CREATE UNIQUE INDEX childcare_capacity_rules_pkey ON childcare_capacity_rules USING btree (id)
public,childcare_capacity_rules,idx_childcare_capacity_rules_org_program,false,false,btree,"CREATE INDEX idx_childcare_capacity_rules_org_program ON childcare_capacity_rules USING btree (org_id, program_category_id) WHERE program_category_id IS NOT NULL"
public,childcare_capacity_rules,idx_childcare_capacity_rules_org_room,false,false,btree,"CREATE INDEX idx_childcare_capacity_rules_org_room ON childcare_capacity_rules USING btree (org_id, room_location_id) WHERE room_location_id IS NOT NULL"
public,childcare_capacity_rules,idx_childcare_capacity_rules_org_scope,false,false,btree,"CREATE INDEX idx_childcare_capacity_rules_org_scope ON childcare_capacity_rules USING btree (org_id, scope_type)"
public,childcare_capacity_rules,idx_childcare_capacity_rules_org_site,false,false,btree,"CREATE INDEX idx_childcare_capacity_rules_org_site ON childcare_capacity_rules USING btree (org_id, site_location_id) WHERE site_location_id IS NOT NULL"
public,childcare_operating_windows,childcare_operating_windows_pkey,true,true,btree,CREATE UNIQUE INDEX childcare_operating_windows_pkey ON childcare_operating_windows USING btree (id)
public,childcare_operating_windows,idx_childcare_operating_windows_org_scope,false,false,btree,"CREATE INDEX idx_childcare_operating_windows_org_scope ON childcare_operating_windows USING btree (org_id, scope_type)"
public,childcare_operating_windows,idx_childcare_operating_windows_org_site_weekday,false,false,btree,"CREATE INDEX idx_childcare_operating_windows_org_site_weekday ON childcare_operating_windows USING btree (org_id, site_location_id, weekday) WHERE site_location_id IS NOT NULL"
public,childcare_rate_plans,childcare_rate_plans_pkey,true,true,btree,CREATE UNIQUE INDEX childcare_rate_plans_pkey ON childcare_rate_plans USING btree (id)
public,childcare_rate_plans,idx_childcare_rate_plans_org_plan_key,false,false,btree,"CREATE INDEX idx_childcare_rate_plans_org_plan_key ON childcare_rate_plans USING btree (org_id, plan_key)"
public,childcare_rate_plans,idx_childcare_rate_plans_org_program,false,false,btree,"CREATE INDEX idx_childcare_rate_plans_org_program ON childcare_rate_plans USING btree (org_id, program_category_id) WHERE program_category_id IS NOT NULL"
public,childcare_rate_plans,idx_childcare_rate_plans_org_room,false,false,btree,"CREATE INDEX idx_childcare_rate_plans_org_room ON childcare_rate_plans USING btree (org_id, room_location_id) WHERE room_location_id IS NOT NULL"
public,childcare_rate_plans,idx_childcare_rate_plans_org_scope,false,false,btree,"CREATE INDEX idx_childcare_rate_plans_org_scope ON childcare_rate_plans USING btree (org_id, scope_type)"
public,childcare_rate_plans,idx_childcare_rate_plans_org_site,false,false,btree,"CREATE INDEX idx_childcare_rate_plans_org_site ON childcare_rate_plans USING btree (org_id, site_location_id) WHERE site_location_id IS NOT NULL"
public,childcare_rate_plans,idx_childcare_rate_plans_service,false,false,btree,CREATE INDEX idx_childcare_rate_plans_service ON childcare_rate_plans USING btree (service_id) WHERE service_id IS NOT NULL
public,childcare_rate_rules,childcare_rate_rules_pkey,true,true,btree,CREATE UNIQUE INDEX childcare_rate_rules_pkey ON childcare_rate_rules USING btree (id)
public,childcare_rate_rules,idx_childcare_rate_rules_org,false,false,btree,CREATE INDEX idx_childcare_rate_rules_org ON childcare_rate_rules USING btree (org_id)
public,childcare_rate_rules,idx_childcare_rate_rules_org_age_group,false,false,btree,"CREATE INDEX idx_childcare_rate_rules_org_age_group ON childcare_rate_rules USING btree (org_id, age_group_key) WHERE age_group_key IS NOT NULL"
public,childcare_rate_rules,idx_childcare_rate_rules_plan_basis,false,false,btree,"CREATE INDEX idx_childcare_rate_rules_plan_basis ON childcare_rate_rules USING btree (rate_plan_id, schedule_basis)"
public,childcare_ratio_rule_tiers,childcare_ratio_rule_tiers_pkey,true,true,btree,CREATE UNIQUE INDEX childcare_ratio_rule_tiers_pkey ON childcare_ratio_rule_tiers USING btree (id)
public,childcare_ratio_rule_tiers,childcare_ratio_rule_tiers_unique_threshold,true,false,btree,"CREATE UNIQUE INDEX childcare_ratio_rule_tiers_unique_threshold ON childcare_ratio_rule_tiers USING btree (ratio_rule_id, max_children)"
