table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,is_generated,generation_expression
postgres,public,access_methods,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,access_methods,key,2,,NO,text,pg_catalog,text,,,,,,
postgres,public,access_methods,label,3,,NO,text,pg_catalog,text,,,,,,
postgres,public,access_methods,position,4,0,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,access_methods,is_active,5,true,NO,boolean,pg_catalog,bool,,,,,,
postgres,public,action_definitions,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_definitions,org_id,2,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_definitions,key,3,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,label,4,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,description,5,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,entity_type,6,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,action_type,7,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,icon,8,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,style,9,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_definitions,priority,10,100,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,action_definitions,required_permissions,11,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_definitions,condition_config,12,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_definitions,payload_schema,13,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_definitions,workflow_id,14,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_definitions,is_active,15,true,NO,boolean,pg_catalog,bool,,,,,,
postgres,public,action_definitions,created_at,16,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_definitions,updated_at,17,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_definitions,metadata,18,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_links,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_links,org_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_links,action_type,3,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_links,entity_type,4,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_links,entity_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_links,token,6,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_links,expires_at,7,(now() + '02:00:00'::interval),YES,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_links,consumed_at,8,,YES,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_links,metadata,9,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_links,created_at,10,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_links,short_code,11,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_placements,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_placements,org_id,2,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_placements,action_definition_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_placements,surface,4,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_placements,slot,5,,NO,text,pg_catalog,text,,,,,,
postgres,public,action_placements,entity_type,6,,YES,text,pg_catalog,text,,,,,,
postgres,public,action_placements,department_id,7,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_placements,work_unit_id,8,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,action_placements,order_index,9,100,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,action_placements,display_style,10,'button'::text,NO,text,pg_catalog,text,,,,,,
postgres,public,action_placements,condition_config,11,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,action_placements,is_active,12,true,NO,boolean,pg_catalog,bool,,,,,,
postgres,public,action_placements,created_at,13,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_placements,updated_at,14,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,action_placements,section_key,15,,YES,text,pg_catalog,text,,,,,,
postgres,public,activity_log,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,activity_log,entity_type,2,,NO,text,pg_catalog,text,,,,,,
postgres,public,activity_log,entity_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,activity_log,action,4,,NO,text,pg_catalog,text,,,,,,
postgres,public,activity_log,actor_type,5,,YES,text,pg_catalog,text,,,,,,
postgres,public,activity_log,actor_id,6,,YES,uuid,pg_catalog,uuid,,,,,,
postgres,public,activity_log,summary,7,,YES,text,pg_catalog,text,,,,,,
postgres,public,activity_log,diff,8,'{}'::jsonb,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,activity_log,created_at,9,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,addon_frequencies,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,addon_frequencies,key,2,,NO,text,pg_catalog,text,,,,,,
postgres,public,addon_frequencies,label,3,,NO,text,pg_catalog,text,,,,,,
postgres,public,addon_frequencies,position,4,0,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,addon_frequencies,is_active,5,true,NO,boolean,pg_catalog,bool,,,,,,
postgres,public,addon_types,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,addon_types,key,2,,NO,text,pg_catalog,text,,,,,,
postgres,public,addon_types,label,3,,NO,text,pg_catalog,text,,,,,,
postgres,public,addon_types,position,4,0,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,addon_types,is_active,5,true,NO,boolean,pg_catalog,bool,,,,,,
postgres,public,addon_types,vertical_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,result_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,proposal_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,org_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,user_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,work_unit_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_apply_audit,terminal_status,7,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v0_apply_audit,applied_queue_definition_version,8,0,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,agent_v0_apply_audit,created_at,9,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v0_proposals,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,proposal_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,request_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,correlation_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,org_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,user_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,work_unit_id,7,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v0_proposals,intent_json,8,,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,agent_v0_proposals,before_hash,9,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v0_proposals,after_hash,10,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v0_proposals,created_at,11,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v1_record_layout_apply_audit,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,result_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,proposal_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,org_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,user_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,record_overview_layout_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,terminal_status,7,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v1_record_layout_apply_audit,applied_config_version,8,0,NO,integer,pg_catalog,int4,,32,0,,,
postgres,public,agent_v1_record_layout_apply_audit,created_at,9,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v1_record_layout_proposals,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,proposal_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,request_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,correlation_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,org_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,user_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,record_overview_layout_id,7,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v1_record_layout_proposals,intent_json,8,,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,agent_v1_record_layout_proposals,before_hash,9,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v1_record_layout_proposals,after_hash,10,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v1_record_layout_proposals,created_at,11,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v2_field_visibility_apply_audit,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,result_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,proposal_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,org_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,user_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,field_definition_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,terminal_status,7,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v2_field_visibility_apply_audit,applied_updated_at,8,,YES,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v2_field_visibility_apply_audit,created_at,9,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
postgres,public,agent_v2_field_visibility_proposals,id,1,gen_random_uuid(),NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,proposal_id,2,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,request_id,3,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,correlation_id,4,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,org_id,5,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,user_id,6,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,field_definition_id,7,,NO,uuid,pg_catalog,uuid,,,,,,
postgres,public,agent_v2_field_visibility_proposals,intent_json,8,,NO,jsonb,pg_catalog,jsonb,,,,,,
postgres,public,agent_v2_field_visibility_proposals,before_hash,9,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v2_field_visibility_proposals,after_hash,10,,NO,text,pg_catalog,text,,,,,,
postgres,public,agent_v2_field_visibility_proposals,created_at,11,now(),NO,timestamp with time zone,pg_catalog,timestamptz,,,,6,,
