table_schema,table_name,table_kind,rls_enabled,rls_forced,has_row_level_security_policy
public,access_methods,BASE TABLE,true,false,true
public,action_definitions,BASE TABLE,true,false,true
public,action_links,BASE TABLE,true,false,true
public,action_placements,BASE TABLE,true,false,true
public,activity_log,BASE TABLE,true,false,true
public,addon_frequencies,BASE TABLE,true,false,true
public,addon_types,BASE TABLE,true,false,true
public,agent_v0_apply_audit,BASE TABLE,true,false,true
public,agent_v0_proposals,BASE TABLE,true,false,true
public,agent_v1_record_layout_apply_audit,BASE TABLE,true,false,true
public,agent_v1_record_layout_proposals,BASE TABLE,true,false,true
public,agent_v2_field_visibility_apply_audit,BASE TABLE,true,false,true
public,agent_v2_field_visibility_proposals,BASE TABLE,true,false,true
public,announcement_deliveries,BASE TABLE,true,false,true
public,announcement_recipients,BASE TABLE,true,false,true
public,announcement_targets,BASE TABLE,true,false,true
public,announcements,BASE TABLE,true,false,true
public,app_users,BASE TABLE,true,false,true
public,assignment_statuses,BASE TABLE,true,false,true
public,assignments,BASE TABLE,true,false,true
public,business_process_layout_assignments,BASE TABLE,true,false,true
public,campaigns,BASE TABLE,true,false,true
public,charge_line_items,BASE TABLE,true,false,true
public,charges,BASE TABLE,true,false,true
public,child_attendance_events,BASE TABLE,true,false,true
public,child_enrollment_agreements,BASE TABLE,true,false,true
public,child_placements,BASE TABLE,true,false,true
public,childcare_capacity_rules,BASE TABLE,true,false,true
public,childcare_operating_windows,BASE TABLE,true,false,true
public,childcare_rate_plans,BASE TABLE,true,false,true
public,childcare_rate_rules,BASE TABLE,true,false,true
public,childcare_ratio_rule_tiers,BASE TABLE,true,false,true
public,childcare_ratio_rules,BASE TABLE,true,false,true
public,childcare_schedule_rules,BASE TABLE,true,false,true
public,cleaning_job_addons,BASE TABLE,true,false,true
public,cleaning_job_details,BASE TABLE,true,false,true
public,cleaning_service_types,BASE TABLE,true,false,true
public,commercial_addons,BASE TABLE,true,false,true
public,commercial_categories,BASE TABLE,true,false,true
public,commercial_deposits,BASE TABLE,true,false,true
public,commercial_fees,BASE TABLE,true,false,true
public,commercial_policies,BASE TABLE,true,false,true
public,commercial_products,BASE TABLE,true,false,true
public,commercial_revenue_categories,BASE TABLE,true,false,true
public,commercial_tuition_rates,BASE TABLE,true,false,true
public,communication_delivery_events,BASE TABLE,true,false,true
public,communication_identities,BASE TABLE,true,false,true
public,communication_identity_grants,BASE TABLE,true,false,true
public,communication_identity_location_bindings,BASE TABLE,true,false,true
public,communication_message_reads,BASE TABLE,true,false,true
public,communication_message_recipients,BASE TABLE,true,false,true
public,communication_messages,BASE TABLE,true,false,true
public,communication_preference_events,BASE TABLE,true,false,true
public,communication_preferences,BASE TABLE,true,false,true
public,communication_provider_accounts,BASE TABLE,true,false,true
public,communication_provider_bindings,BASE TABLE,true,false,true
public,communication_scheduled_sends,BASE TABLE,true,false,true
public,communication_snippets,BASE TABLE,true,false,true
public,communication_template_versions,BASE TABLE,true,false,true
public,communication_templates,BASE TABLE,true,false,true
public,communication_threads,BASE TABLE,true,false,true
public,config_layout_assist_proposals,BASE TABLE,true,false,true
public,consumption_event_types,BASE TABLE,true,false,true
public,consumption_events,BASE TABLE,true,false,true
public,contact_tags,BASE TABLE,true,false,true
public,contacts,BASE TABLE,true,false,true
public,conversation_assignment_events,BASE TABLE,true,false,true
public,customer_member_contact_roles,BASE TABLE,true,true,true
public,customer_member_contacts,BASE TABLE,true,true,true
public,customer_member_relationship_types,BASE TABLE,true,true,true
public,customer_members,BASE TABLE,true,true,true
public,customer_payment_methods,BASE TABLE,true,true,false
public,customer_person_role_types,BASE TABLE,true,false,true
public,customer_persons,BASE TABLE,true,false,true
public,customer_subscriptions,BASE TABLE,true,false,true
public,customer_tags,BASE TABLE,true,false,true
public,customer_vertical_job_counters,BASE TABLE,true,false,false
public,customers,BASE TABLE,true,false,true
public,departments,BASE TABLE,true,true,true
public,discount_applications,BASE TABLE,true,false,true
public,discount_codes,BASE TABLE,true,false,true
public,discount_commitments,BASE TABLE,true,false,true
public,discount_program_benefits,BASE TABLE,true,false,true
public,discount_program_commitment_rules,BASE TABLE,true,false,true
public,discount_program_qualifiers,BASE TABLE,true,false,true
public,discount_programs,BASE TABLE,true,false,true
public,discount_redemptions,BASE TABLE,true,false,true
public,discounts,BASE TABLE,true,false,true
public,document_field_definitions,BASE TABLE,true,false,true
public,document_field_values,BASE TABLE,true,false,true
public,document_versions,BASE TABLE,true,false,true
public,documents,BASE TABLE,true,false,true
public,entity_labels,BASE TABLE,true,true,true
public,entity_layouts,BASE TABLE,true,false,true
public,external_mappings,BASE TABLE,true,false,true
public,field_definitions,BASE TABLE,true,false,true
public,field_section_definitions,BASE TABLE,true,false,true
public,field_values,BASE TABLE,true,false,true
public,financial_charge_templates,BASE TABLE,true,false,true
public,financial_policies,BASE TABLE,true,false,true
public,financial_services,BASE TABLE,true,false,true
public,form_definition_versions,BASE TABLE,true,false,true
public,form_definitions,BASE TABLE,true,false,true
public,form_packet_definitions,BASE TABLE,true,false,true
public,form_packet_items,BASE TABLE,true,false,true
public,form_packet_session_items,BASE TABLE,true,false,true
public,form_packet_sessions,BASE TABLE,true,false,true
public,form_public_links,BASE TABLE,true,false,true
